question,A,B,C,D,answer
Thành phố nào là thủ đô của Bồ Đào Nha?,Porto,Lisbon,Faro,Braga,B
Loài vật nào có thể thay đổi màu da nhanh nhất?,Mực,Tắc kè,Cá ngựa,Ếch,A
Ai là người viết "Don Quixote"?,Miguel de Cervantes,Federico García Lorca,Pablo Neruda,Gabriel García Márquez,A
Thành phố nào là thủ đô của Hà Lan?,Amsterdam,Rotterdam,The Hague,Utrecht,A
Loài vật nào có khả năng nhảy cao nhất so với cơ thể?,Bọ chét,Châu chấu,Chuột túi,Ếch,A
Ai là người phát minh ra kính hiển vi?,Antonie van Leeuwenhoek,Galileo Galilei,Robert Hooke,Louis Pasteur,A
Thành phố nào là thủ đô của Thụy Điển?,Gothenburg,Stockholm,Malmö,Uppsala,B
Loài vật nào có thể sống sót trong không gian?,Gấu nước,Giun đất,Kiến,Ruồi,A
Ai là người sáng lập Microsoft cùng Bill Gates?,Paul Allen,Steve Ballmer,Satya Nadella,Mark Zuckerberg,A
Thành phố nào là thủ đô của Na Uy?,Bergen,Oslo,Trondheim,Stavanger,B
Loài vật nào có lông vũ nhưng không bay được?,Chim cánh cụt,Gà,Vịt,Đà điểu,D
Ai là người viết "Chiến dịch Điện Biên Phủ"?,Võ Nguyên Giáp,Hồ Chí Minh,Trường Chinh,Phạm Văn Đồng,A
Thành phố nào là thủ đô của Phần Lan?,Tampere,Helsinki,Turku,Espoo,B
Loài vật nào có nhiều chân nhất?,Rết,Bọ ngựa,Nhện,Kiến,A
Ai là người phát minh ra bóng đèn huỳnh quang?,Peter Cooper Hewitt,Thomas Edison,Nikola Tesla,George Westinghouse,A
Thành phố nào là thủ đô của Đan Mạch?,Aarhus,Copenhagen,Odense,Aalborg,B
Loài vật nào có tuổi thọ ngắn nhất?,Ruồi giấm,Muỗi,Kiến,Ong,A
Ai là người viết "Alice ở xứ sở thần tiên"?,Lewis Carroll,Charles Dickens,Oscar Wilde,J.M. Barrie,A
Thành phố nào là thủ đô của Áo?,Salzburg,Vienna,Graz,Innsbruck,B
Loài vật nào có khả năng phát điện?,Cá chình điện,Cá đuối,Bạch tuộc,Sứa,A
Ai là người phát minh ra động cơ đốt trong?,Nikolaus Otto,Rudolf Diesel,Karl Benz,Henry Ford,A
Thành phố nào là thủ đô của Séc?,Brno,Prague,Ostrava,Plzeň,B
Loài vật nào có móng vuốt dài nhất?,Gấu lười,Hổ,Báo,Đại bàng,A
Ai là người sáng lập Wikipedia?,Jimmy Wales,Larry Page,Mark Zuckerberg,Jack Dorsey,A
Thành phố nào là thủ đô của Hy Lạp?,Thessaloniki,Athens,Patras,Heraklion,B
Loài vật nào có khả năng nhìn 360 độ?,Cá ngựa,Chim ưng,Mèo,Cú,A
Ai là người viết "Số đỏ"?,Vũ Trọng Phụng,Nguyễn Công Hoan,Nam Cao,Tô Hoài,A
Thành phố nào là thủ đô của Hungary?,Debrecen,Budapest,Szeged,Miskolc,B
Loài vật nào có thể tồn tại không cần não?,Sứa,Sao biển,Giun đất,Ốc sên,A
Ai là người phát minh ra tàu điện ngầm?,Charles Pearson,George Stephenson,Marc Brunel,Thomas Edison,A
Thành phố nào là thủ đô của Bỉ?,Antwerp,Brussels,Bruges,Ghent,B
Loài vật nào có khả năng bay ngược?,Chim ruồi,Chim cánh cụt,Chim bồ câu,Chim sẻ,A
Ai là người viết "Tắt đèn"?,Ngô Tất Tố,Nam Cao,Vũ Trọng Phụng,Nguyễn Công Hoan,A
Thành phố nào là thủ đô của Romania?,Cluj-Napoca,Bucharest,Timișoara,Iași,B
Loài vật nào có khả năng nhìn màu tốt nhất?,Bọ ngựa,Ong,Chim,Người,A
Ai là người phát hiện ra tia X?,Wilhelm Röntgen,Marie Curie,Henri Becquerel,Ernest Rutherford,A
Thành phố nào là thủ đô của Bulgaria?,Plovdiv,Sofia,Varna,Burgas,B
Loài vật nào có khả năng học ngôn ngữ con người?,Vẹt,Chim sáo,Quạ,Chim họa mi,A
Ai là người sáng lập Netflix?,Reed Hastings,Mark Zuckerberg,Jeff Bezos,Jack Dorsey,A
Thành phố nào là thủ đô của Croatia?,Split,Zagreb,Dubrovnik,Rijeka,B
Loài vật nào có răng nanh dài nhất?,Voi,Hà mã,Hải mã,Tê giác,C
Ai là người viết "Vợ nhặt"?,Kim Lân,Nam Cao,Nguyễn Minh Châu,Nguyễn Công Hoan,A
Thành phố nào là thủ đô của Serbia?,Novi Sad,Belgrade,Niš,Kragujevac,B
Loài vật nào có thể tồn tại ở nhiệt độ cao nhất?,Vi khuẩn ưa nhiệt,Tôm,Cá,Sứa,A
Ai là người phát minh ra máy bay trực thăng?,Igor Sikorsky,Wright Brothers,Leonardo da Vinci,Louis Blériot,A
Thành phố nào là thủ đô của Slovakia?,Košice,Bratislava,Prešov,Žilina,B
Loài vật nào có khả năng sống lâu nhất không cần ăn?,Rắn python,Cá mập,Cá sấu,Ếch,A
Ai là người viết "Lão Hạc"?,Nam Cao,Ngô Tất Tố,Vũ Trọng Phụng,Kim Lân,A
Thành phố nào là thủ đô của Slovenia?,Maribor,Ljubljana,Celje,Kranj,B
Loài vật nào có khả năng cảm nhận động đất trước?,Mèo,Chó,Voi,Cá,C
Ai là người phát minh ra pin điện?,Alessandro Volta,Thomas Edison,Nikola Tesla,Michael Faraday,A
Thành phố nào là thủ đô của Estonia?,Tartu,Tallinn,Narva,Pärnu,B
Loài vật nào có nhiều loài nhất trên Trái Đất?,Bọ cánh cứng,Kiến,Ong,Bướm,A
Ai là người sáng lập Twitter?,Jack Dorsey,Mark Zuckerberg,Evan Williams,Larry Page,A
Thành phố nào là thủ đô của Latvia?,Daugavpils,Riga,Liepāja,Jelgava,B
Loài vật nào có khả năng tự phát sáng?,Mực,Đom đóm,Sứa,Cá,B
Ai là người viết "Đất nước đứng lên"?,Nguyễn Đình Thi,Tố Hữu,Xuân Diệu,Chế Lan Viên,A
Thành phố nào là thủ đô của Lithuania?,Kaunas,Vilnius,Klaipėda,Šiauliai,B
Loài vật nào có bộ não nhỏ nhất so với cơ thể?,Khủng long,Cá voi,Cá mập,Voi,C
Ai là người phát minh ra súng lục?,Samuel Colt,John Browning,Mikhail Kalashnikov,Eugene Stoner,A
Thành phố nào là thủ đô của Iceland?,Akureyri,Reykjavik,Kópavogur,Hafnarfjörður,B
Loài vật nào có khả năng tái tạo tim?,Sao biển,Bạch tuộc,Mực,Tôm hùm,A
Ai là người viết "Việt Bắc"?,Tố Hữu,Xuân Diệu,Nguyễn Đình Thi,Chế Lan Viên,A
Thành phố nào là thủ đô của Malta?,Mdina,Valletta,Sliema,Birkirkara,B
Loài vật nào có khả năng nghe được tiếng dưới nước xa nhất?,Cá voi,Cá heo,Hải cẩu,Cá mập,A
Ai là người phát minh ra máy bay phản lực?,Frank Whittle,Igor Sikorsky,Wright Brothers,Howard Hughes,A
Thành phố nào là thủ đô của Luxembourg?,Esch-sur-Alzette,Luxembourg City,Differdange,Dudelange,B
Loài vật nào có lông dày nhất?,Rái cá biển,Gấu Bắc cực,Chó sói,Cáo,A
Ai là người viết "Tôi đi học"?,Thanh Tịnh,Nguyễn Nhật Ánh,Tô Hoài,Nguyễn Công Hoan,C
Thành phố nào là thủ đô của Cyprus?,Limassol,Nicosia,Larnaca,Paphos,B
Loài vật nào có khả năng chạy trên nước?,Thằn lằn rồng,Nhện,Kiến,Bọ cạp,A
Ai là người phát minh ra kính viễn vọng?,Galileo Galilei,Isaac Newton,Johannes Kepler,Edwin Hubble,A
Thành phố nào là thủ đô của Monaco?,Monte Carlo,Monaco,La Condamine,Fontvieille,B
Loài vật nào có khả năng nhớ lâu nhất?,Voi,Chó,Chimpanzee,Cá heo,A
Ai là người viết "Dế Mèn phiêu lưu ký"?,Tô Hoài,Nguyễn Nhật Ánh,Thanh Tịnh,Nguyễn Công Hoan,A 
Thành phố nào là thủ đô của Andorra?,Escaldes-Engordany,Andorra la Vella,Sant Julià de Lòria,La Massana,B
Loài vật nào có khả năng sống sót sau khi bị đóng băng?,Gấu nước,Ếch,Rắn,Cá,A
Ai là người phát minh ra máy quay phim?,Louis Le Prince,Thomas Edison,Auguste Lumière,Georges Méliès,A
Thành phố nào là thủ đô của Liechtenstein?,Vaduz,Schaan,Triesen,Balzers,A
Loài vật nào có khả năng nhìn trong bóng tối tốt nhất?,Mèo,Chim cú,Rắn,Cá mập,B
Ai là người viết "Số đỏ"?,Vũ Trọng Phụng,Nguyễn Công Hoan,Nam Cao,Tô Hoài,A
Thành phố nào là thủ đô của San Marino?,Borgo Maggiore,San Marino City,Domagnano,Fiorentino,B
Loài vật nào có khả năng sống sót trong môi trường chân không?,Gấu nước,Giun đất,Kiến,Ruồi,A
Ai là người phát minh ra máy in?,Johannes Gutenberg,Thomas Edison,Nikola Tesla,Alexander Graham Bell,A  
Thành phố nào là thủ đô của Vatican?,Rome,Vatican City,Florence,Milan,B
Loài vật nào có khả năng tái sinh chi bị mất?,Ếch,Cá ngựa,Sứa,Thằn lằn,D
